ID,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
5048,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,11.7,8.4,10.2,28,235
5049,LEXUS,LS 500 AWD,MID-SIZE,3.4,6,AS10,Z,13.0,8.7,11.0,26,259
5050,MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,AV6,X,9.7,8.1,9.0,31,207
5051,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
5052,MERCEDES-BENZ,C 250 COUPE,SUBCOMPACT,1.8,4,AS7,Z,11.0,7.4,9.4,30,216
5053,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,X,15.0,11.4,13.4,21,308
5054,CHEVROLET,Suburban 4WD FFV,SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.4,20,337
5055,VOLKSWAGEN,Jetta,COMPACT,1.4,4,AS8,X,7.8,5.9,7.0,40,162
5056,FORD,Escape FFV,SUV - SMALL,2.5,4,AS6,X,11.0,8.0,9.6,29,226
5057,TOYOTA,Sienna,MINIVAN,3.5,6,AS8,X,12.4,8.9,10.8,26,254
5058,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
5059,BENTLEY,Continental GT Convertible,SUBCOMPACT,6.0,12,AM8,Z,19.2,12.2,16.0,18,373
5060,LINCOLN,MKZ HYBRID,MID-SIZE,2.0,4,AV,X,6.2,6.4,,45,145
5061,BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,343
5062,TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6,AS5,X,14.2,11.1,12.8,22,294
5063,FORD,ESCAPE,SUV - SMALL,2.0,4,AS6,X,10.9,8.0,9.6,29,221
5064,FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,14.5,11.2,13.0,22,305
5065,BMW,430i Coupe,COMPACT,2.0,4,AS8,Z,10.1,7.0,8.7,32,204
5066,CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.1,11.5,13.5,21,316
5067,HYUNDAI,SANTA FE,SUV - SMALL,3.3,6,AS6,X,12.9,9.4,11.3,25,265
5068,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.7,9.1,11.1,25,254
5069,MINI,JOHN COOPER WORKS CLUBMAN,SUBCOMPACT,1.6,4,M6,Z,9.1,6.7,8.0,35,184
5070,KIA,SPORTAGE,SUV - SMALL,2.4,4,A6,X,11.4,8.3,10.0,28,230
5071,FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,13.7,10.2,12.1,23,278
5072,LEXUS,IS 300,COMPACT,2.0,4,AS8,Z,11.0,7.6,9.5,30,220
5073,CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,X,11.5,8.3,10.1,28,237
5074,CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,6.9,8.1,35,190
5075,PORSCHE,CAYMAN GTS,TWO-SEATER,2.5,4,M6,Z,,9.4,11.0,26,257
5076,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.6,9.0,11.0,26,259
5077,MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8,AS7,Z,12.9,9.6,11.4,25,270
5078,CHEVROLET,CRUZE,COMPACT,1.4,4,M6,X,8.2,5.8,,40,167
5079,TOYOTA,RAV4 LIMITED AWD,SUV - SMALL,2.5,4,AS6,X,10.7,8.3,9.6,29,221
5080,JAGUAR,XJR,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
5081,LEXUS,RX 350 L AWD,SUV - SMALL,3.5,6,AS8,X,13.1,9.4,11.1,25,268
5082,MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Z,9.0,6.6,7.9,36,186
5083,BMW,M2,SUBCOMPACT,3.0,6,M6,Z,13.1,9.2,,25,267
5084,TOYOTA,86,MINICOMPACT,2.0,4,M6,Z,11.2,,9.9,29,232
5085,DODGE,Challenger SRT Hellcat,MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,352
5086,NISSAN,SENTRA,MID-SIZE,1.8,4,M6,X,9.0,6.8,8.0,35,187
5087,RAM,1500 HFE eTorque,PICKUP TRUCK - STANDARD,3.6,6,A8,X,11.6,9.0,10.4,27,246
5088,CADILLAC,CTS,MID-SIZE,2.0,4,AS8,Z,11.0,7.8,9.5,30,224
5089,GMC,Yukon 4WD,SUV - STANDARD,6.2,8,A10,Z,16.4,10.7,,20,325
5090,TOYOTA,Corolla,COMPACT,1.8,4,M6,X,8.0,6.0,7.1,40,165
5091,HYUNDAI,Elantra,MID-SIZE,1.6,4,AM7,X,8.9,7.0,,35,192
5092,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,229
5093,TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4,AV,X,5.8,6.3,6.0,47,141
5094,DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10.0,13.1,22,307
5095,HYUNDAI,Kona AWD,SUV - SMALL,2.0,4,AS6,X,9.2,7.8,8.6,33,202
5096,PORSCHE,PANAMERA 4S,FULL-SIZE,2.9,6,AM8,Z,11.3,8.5,10.1,28,235
5097,MITSUBISHI,RVR,SUV - SMALL,2.0,4,AV6,X,9.7,7.8,8.8,32,206
5098,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.3,,14.2,20,327
5099,CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6,A9,X,12.8,8.1,10.7,26,246
5100,TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4,AV6,X,5.3,5.0,5.1,55,121
5101,HYUNDAI,ELANTRA,MID-SIZE,1.8,4,AS6,X,8.5,6.3,7.5,38,172
5102,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,336
5103,JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6,A8,E,17.7,13.0,15.6,18,250
5104,HONDA,Civic Coupe Si,COMPACT,1.5,4,M6,Z,,6.2,,38,173
5105,HYUNDAI,Sonata,FULL-SIZE,2.0,4,AS8,X,10.4,7.4,9.1,31,212
5106,JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M5,X,10.6,8.6,9.7,29,228
5107,ROLLS-ROYCE,Ghost EWB,FULL-SIZE,6.6,12,AS8,Z,20.3,13.0,17.0,17,397
5108,INFINITI,QX60,SUV - SMALL,3.5,6,AV7,Z,11.8,8.5,10.3,27,242
5109,PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,AM7,Z,11.6,8.3,10.1,28,232
5110,PORSCHE,911 GT2 RS,TWO-SEATER,3.8,6,AM7,Z,15.3,11.2,13.5,21,315
5111,PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M7,Z,12.3,8.6,10.6,27,244
5112,CHEVROLET,Equinox,SUV - SMALL,1.6,4,A6,D,8.5,6.0,7.4,38,199
5113,KIA,Sportage AWD,SUV - SMALL,2.0,4,AS6,X,11.9,10.2,11.1,25,263
5114,GMC,TERRAIN,SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,23,278
5115,BMW,M3,COMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24,271
5116,DODGE,Charger FFV,FULL-SIZE,3.6,6,A8,X,,7.8,10.3,27,242
5117,LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,12.2,9.0,10.8,26,252
5118,CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.7,9.0,9.4,30,216
5119,DODGE,Journey FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,23,284
5120,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.7,12.5,14.8,19,340
5121,BMW,320i,COMPACT,2.0,4,AS8,Z,9.9,6.5,8.4,34,197
5122,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304
5123,JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3.0,6,AS8,Z,11.8,8.4,10.3,27,237
5124,PORSCHE,Cayman S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26,249
5125,FORD,ESCAPE FFV,SUV - SMALL,2.5,4,AS6,E,15.2,10.8,13.3,21,219
5126,PORSCHE,CAYMAN,TWO-SEATER,2.0,4,M6,Z,11.0,8.3,9.8,29,229
5127,GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,19.3,14.4,17.1,17,284
5128,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
5129,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.0,8.4,11.5,25,265
5130,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,,12.0,16.6,17,389
5131,FORD,F-150,PICKUP TRUCK - STANDARD,3.0,6,AS10,D,10.8,8.0,9.5,30,256
5132,MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.7,6.6,7.8,36,181
5133,BMW,740Li xDRIVE SEDAN,FULL-SIZE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237
5134,GMC,Sierra FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.0,12.6,14.4,20,339
5135,DODGE,DART,MID-SIZE,2.0,4,M6,X,9.4,6.5,,35,186
5136,TOYOTA,HIGHLANDER AWD (Start/Stop System),SUV - STANDARD,3.5,6,AS8,X,12.0,8.9,10.6,27,247
5137,RAM,1500 eTorque,PICKUP TRUCK - STANDARD,3.6,6,A8,X,,9.4,10.8,26,253
5138,FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.8,13.8,20,324
5139,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
5140,HONDA,Fit,STATION WAGON - SMALL,1.5,4,AV,X,7.0,5.9,6.5,43,151
5141,HONDA,Civic Hatchback,FULL-SIZE,1.5,4,AV,X,7.7,6.0,6.9,41,162
5142,JEEP,COMPASS,SUV - SMALL,2.4,4,A6,X,11.2,8.6,10.0,28,235
5143,BMW,M550i xDrive Sedan,MID-SIZE,4.4,8,AS8,Z,13.6,9.3,11.7,24,273
5144,BMW,X7 M50i,SUV - STANDARD,4.4,8,AS8,Z,15.5,11.4,13.6,21,318
5145,BMW,435i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.8,7.6,9.9,29,232
5146,HYUNDAI,TUCSON,SUV - SMALL,2.0,4,AS6,X,10.1,7.6,9.0,31,211
5147,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334
5148,AUDI,S5 QUATTRO,SUBCOMPACT,3.0,6,M6,Z,13.8,9.0,11.7,24,273
5149,GMC,TERRAIN,SUV - SMALL,2.4,4,A6,X,11.0,7.5,9.4,30,221
5150,PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,M7,Z,12.9,9.1,11.2,25,258
5151,BMW,435i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.8,7.6,9.9,29,228
5152,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248
5153,BMW,230i Coupe,SUBCOMPACT,2.0,4,AS8,Z,,7.4,8.5,33,200
5154,MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.4,7.6,8.6,33,201
5155,CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,E,16.3,11.6,14.2,20,236
5156,TOYOTA,TACOMA 4WD D-CAB OFF-ROAD,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,11.7,12.9,22,300
5157,MINI,COOPER CLUBMAN,SUBCOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
5158,DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
5159,PORSCHE,BOXSTER,TWO-SEATER,2.7,6,AM7,Z,10.7,7.4,9.2,31,212
5160,MAZDA,CX-9,SUV - SMALL,2.5,4,AS6,X,10.6,8.4,9.6,29,225
5161,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS8,X,12.2,8.5,10.5,27,247
5162,JAGUAR,F-PACE SVR,SUV - SMALL,5.0,8,AS8,Z,14.5,11.0,12.9,22,303
5163,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,14.1,,12.1,23,278
5164,VOLKSWAGEN,BEETLE,COMPACT,2.0,4,AS6,X,9.0,7.2,8.2,34,191
5165,MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.0,4,M6,X,8.0,5.8,7.0,40,161
5166,MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,AS7,Z,13.3,9.4,11.5,25,264
5167,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,193
5168,KIA,SOUL,STATION WAGON - SMALL,1.6,4,M6,X,9.9,7.8,9.0,31,207
5169,PORSCHE,911 TURBO S,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
5170,NISSAN,ALTIMA SR,MID-SIZE,2.5,4,AV7,X,8.9,6.4,7.8,36,185
5171,NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,AS7,Z,13.1,9.6,11.5,25,270
5172,SUBARU,Outback AWD,SUV - SMALL,2.4,4,AV8,X,10.1,7.9,9.1,31,213
5173,BMW,M4 Coupe,COMPACT,3.0,6,AM7,Z,14.1,,12.4,23,290
5174,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,240
5175,INFINITI,QX50 AWD,SUV - SMALL,2.0,4,AV8,Z,10.0,7.8,9.0,31,211
5176,CADILLAC,ATS-V,COMPACT,3.6,6,M6,Z,14.4,10.4,12.6,22,295
5177,NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,M6,X,15.2,11.9,13.7,21,315
5178,PORSCHE,BOXSTER,TWO-SEATER,2.7,6,M6,Z,11.5,7.9,9.9,29,228
5179,PORSCHE,911 CARRERA,MINICOMPACT,3.0,6,AM7,Z,10.6,8.0,9.4,30,221
5180,JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6,A9,X,12.8,9.0,11.1,25,259
5181,BUICK,Encore GX AWD,SUV - SMALL,1.3,3,A9,X,9.0,8.0,8.5,33,199
5182,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380
5183,BUICK,ENCORE (LUV Engine),SUV - SMALL,1.4,4,AS6,X,9.3,7.2,8.3,34,194
5184,TOYOTA,Corolla Hatchback,COMPACT,2.0,4,AV10,X,7.5,5.8,6.7,42,158
5185,JAGUAR,XK COUPE,MINICOMPACT,5.0,8,AS6,Z,14.8,9.9,12.6,22,290
5186,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.3,6,AS6,E,17.6,13.7,15.8,18,263
5187,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,,13.6,17.2,16,275
5188,MERCEDES-BENZ,SLS AMG GT ROADSTER,TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6,18,359
5189,FORD,ESCAPE,SUV - SMALL,2.5,4,AS6,X,10.9,7.6,9.5,30,218
5190,KIA,OPTIMA,MID-SIZE,2.0,4,A6,X,11.7,7.6,9.9,29,228
5191,VOLVO,XC70 T5,SUV - SMALL,2.0,4,AS8,X,10.3,7.6,9.1,31,213
5192,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.4,6.7,8.7,32,200
5193,VOLVO,S90 T6 AWD,MID-SIZE,2.0,4,AS8,Z,10.6,7.6,9.3,30,216
5194,JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
5195,FORD,Transit Connect Wagon LWB,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.1,9.0,10.7,26,251
5196,LEXUS,RC 350 AWD,SUBCOMPACT,3.5,6,AS6,Z,13.1,9.8,11.2,25,262
5197,HYUNDAI,VELOSTER,COMPACT,1.6,4,M6,X,8.9,6.9,8.0,35,188
5198,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,12.4,8.4,10.6,27,249
5199,FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.7,13.3,16.3,17,271
5200,NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,M5,X,12.2,10.4,11.4,25,268
5201,MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.5,5.9,7.3,39,171
5202,LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5.0,8,AS8,Z,17.2,12.5,15.1,19,356
5203,VOLKSWAGEN,BEETLE DUNE,COMPACT,1.8,4,AS6,X,9.7,7.5,8.7,32,203
5204,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.6,9.8,11.3,25,265
5205,CADILLAC,XT5 AWD,SUV - SMALL,3.6,6,AS8,X,12.8,9.3,11.2,25,263
5206,GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,X,14.9,10.1,12.7,22,292
5207,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
5208,HONDA,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6,A6,X,12.8,9.5,11.3,25,264
5209,JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,A5,X,,11.1,12.8,22,299
5210,FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,183
5211,BMW,M3 SEDAN,COMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24,267
5212,INFINITI,Q60 COUPE,SUBCOMPACT,3.7,6,AS7,Z,12.9,8.9,11.1,25,255
5213,HONDA,CIVIC COUPE,COMPACT,2.0,4,M6,X,8.9,6.1,7.7,37,179
5214,AUDI,R8 Coupe,TWO-SEATER,5.2,10,AM7,Z,17.5,11.7,14.9,19,347
5215,HYUNDAI,Veloster Turbo,COMPACT,1.6,4,AM7,X,8.5,6.9,7.8,36,184
5216,BMW,440i xDrive Gran Coupe,COMPACT,3.0,6,AS8,Z,11.4,7.6,9.7,29,228
5217,JAGUAR,XJL Portfolio AWD,FULL-SIZE,3.0,6,AS8,Z,14.0,9.4,11.9,24,280
5218,FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.2,8.2,10.4,27,239
5219,HYUNDAI,VELOSTER,COMPACT,1.6,4,AM6,X,8.3,6.5,7.5,38,177
5220,BMW,530i xDrive,MID-SIZE,2.0,4,AS8,Z,10.2,7.2,8.8,32,207
5221,JEEP,PATRIOT 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,255
5222,HYUNDAI,Elantra GT,FULL-SIZE,2.0,4,M6,X,9.8,7.4,8.7,32,207
5223,VOLVO,S60,COMPACT,2.5,5,AS6,X,11.3,7.8,9.7,29,223
5224,MERCEDES-BENZ,C 300 4MATIC COUPE,SUBCOMPACT,2.0,4,AS7,Z,10.4,8.0,9.3,30,218
5225,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.8,10.2,11.6,24,273
5226,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329
5227,BMW,M760i xDRIVE,FULL-SIZE,6.6,12,AS8,Z,17.7,11.9,15.1,19,355
5228,VOLKSWAGEN,GOLF SPORTWAGEN,STATION WAGON - SMALL,1.8,4,M5,X,9.6,6.8,8.3,34,194
5229,CHEVROLET,Colorado 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,,9.7,11.3,25,265
5230,FORD,MUSTANG (Performance Pkg),SUBCOMPACT,2.3,4,AS10,X,11.8,8.1,10.1,28,236
5231,TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.7,11.5,13.3,21,306
5232,NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.5,10.7,12.8,22,300
5233,PORSCHE,CAYMAN S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26,249
5234,MERCEDES-BENZ,GLS 550 4MATIC,SUV - STANDARD,4.7,8,A9,Z,16.7,12.9,15.0,19,347
5235,TOYOTA,SIENNA AWD,MINIVAN,3.5,6,AS6,X,14.4,10.2,12.5,23,290
5236,CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.3,,25.9,11,414
5237,CHEVROLET,Malibu,MID-SIZE,2.0,4,A9,Z,10.5,7.4,9.1,31,214
5238,BMW,428i GRAN COUPE,COMPACT,2.0,4,M6,Z,10.9,6.8,9.0,31,210
5239,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8,AS8,Z,17.7,10.3,14.4,20,337
5240,JAGUAR,F-TYPE R AWD Coupe,TWO-SEATER,5.0,8,AS8,Z,,10.4,13.3,21,311
5241,FIAT,500L,STATION WAGON - SMALL,1.4,4,A6,X,10.7,7.9,,30,221
5242,SUBARU,FORESTER AWD,SUV - SMALL,2.0,4,AV8,Z,,8.6,9.5,30,223
5243,VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4,M5,X,9.5,6.6,8.2,34,189
5244,MITSUBISHI,RVR 4WD,SUV - SMALL,2.0,4,AV6,X,10.1,8.2,9.2,31,213
5245,KIA,Forte 5,FULL-SIZE,2.0,4,AV,X,8.0,6.0,7.1,40,169
5246,MERCEDES-BENZ,AMG GLC 63 S 4MATIC+,SUV - SMALL,4.0,8,A9,Z,15.0,10.9,13.2,21,309
5247,NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,AS7,X,17.5,12.8,15.4,18,362
5248,MERCEDES-BENZ,E 450 4MATIC Wagon,STATION WAGON - MID-SIZE,3.0,6,A9,Z,12.3,8.9,10.8,26,254
5249,PORSCHE,PANAMERA TURBO S,FULL-SIZE,4.8,8,AM7,Z,15.3,9.7,12.8,22,300
5250,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.7,12.4,15.9,18,264
5251,BMW,230i xDrive Cabriolet,SUBCOMPACT,2.0,4,AS8,Z,10.9,7.5,9.4,30,219
5252,MERCEDES-BENZ,S 550 4MATIC SWB,MID-SIZE,4.7,8,AS7,Z,,9.1,12.2,23,294
5253,GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.2,18.0,16,294
5254,MERCEDES-BENZ,ML 350 4MATIC FFV,SUV - STANDARD,3.5,6,AS7,E,17.8,13.8,16.0,18,256
5255,NISSAN,Sentra,MID-SIZE,2.0,4,M6,X,9.4,6.4,8.0,35,188
5256,GMC,Sierra FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.7,11.9,14.0,20,329
5257,JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4,A9,X,10.9,7.7,9.5,30,218
5258,MINI,John Cooper Works Clubman ALL4,MID-SIZE,2.0,4,M6,Z,11.4,7.7,9.7,29,227
5259,CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15.0,,13.7,21,321
5260,JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,M5,X,10.3,8.4,9.4,30,216
5261,TOYOTA,Camry,MID-SIZE,2.5,4,AS8,X,,5.7,6.9,41,164
5262,MERCEDES-BENZ,AMG SL 65,TWO-SEATER,6.0,12,A7,Z,17.6,10.8,14.5,19,339
5263,MERCEDES-BENZ,METRIS CARGO,SPECIAL PURPOSE VEHICLE,2.0,4,AS7,Z,10.8,,10.2,28,233
5264,CADILLAC,ATS AWD,COMPACT,2.0,4,AS8,Z,10.8,7.8,9.4,30,221
5265,BMW,740Ld xDRIVE SEDAN,FULL-SIZE,3.0,6,AS8,D,10.2,7.1,8.8,32,238
5266,ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,AS8,Z,20.9,12.7,17.2,16,403
5267,VOLVO,XC90 T6 AWD,SUV - STANDARD,2.0,4,AS8,Z,11.5,9.5,10.6,27,247
5268,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274
5269,TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,8.4,6.4,7.5,38,174
5270,FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,E,16.1,,14.2,20,234
5271,TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.4,7.7,,29,226
5272,JAGUAR,F-TYPE R CONVERTIBLE AWD,TWO-SEATER,5.0,8,AS8,Z,15.6,10.4,13.3,21,311
5273,JEEP,PATRIOT,SUV - SMALL,2.0,4,AV,X,10.7,8.8,9.9,29,228
5274,NISSAN,MURANO,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.0,8.3,,29,230
5275,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,D,7.9,,7.0,40,189
5276,RAM,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,D,11.8,8.6,10.4,27,278
5277,RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,X,16.2,11.5,14.1,20,324
5278,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.6,9.7,29,226
5279,CHEVROLET,Equinox AWD,SUV - SMALL,1.5,4,A6,X,9.3,8.0,8.7,32,204
5280,PORSCHE,911 TARGA 4S,MINICOMPACT,3.0,6,M7,Z,12.2,8.5,10.5,27,246
5281,PORSCHE,CAYMAN S,TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27,245
5282,TOYOTA,Camry LE/SE,MID-SIZE,2.5,4,AS8,X,8.5,6.1,7.4,38,173
5283,MINI,COOPER CLUBMAN ALL4,MID-SIZE,1.5,3,M6,Z,10.6,7.4,9.1,31,214
5284,CHEVROLET,Camaro SS,SUBCOMPACT,6.2,8,AS10,Z,14.5,8.8,12.0,24,279
5285,VOLVO,S80,MID-SIZE,3.2,6,AS6,X,11.9,8.1,10.2,28,235
5286,MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,AV6,X,9.9,8.1,9.1,31,209
5287,MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.5,,47,141
5288,TOYOTA,Corolla Hatchback,COMPACT,2.0,4,M6,X,8.4,6.3,7.5,38,174
5289,BMW,X4 M40i,SUV - SMALL,3.0,6,AS8,Z,,9.5,11.4,25,266
5290,KIA,SORENTO,SUV - SMALL,3.3,6,A6,X,12.9,9.5,,25,262
5291,FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.4,,10.7,26,252
5292,NISSAN,SENTRA,MID-SIZE,1.8,4,M6,X,,,7.9,36,182
